occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJO154","Trifolium microcephalum","Trifolium microcephalum Pursh","5359025","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Trifolium","Trifolium microcephalum","Trifolium microcephalum","Pursh"
"HJO155","Lepidium virginicum","Lepidium virginicum L.","5376648","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Lepidium","Lepidium virginicum","Lepidium virginicum","L."
"HJO156","Taxus brevifolia","Taxus brevifolia Nutt.","5284555","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae","Taxus","Taxus brevifolia","Taxus brevifolia","Nutt."
"HJO157","Eriophyllum lanatum","Eriophyllum lanatum (Pursh) Forbes","3130472","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eriophyllum","Eriophyllum lanatum","Eriophyllum lanatum","(Pursh) Forbes"
"HJO158","Sonchus asper","Sonchus asper (L.) Hill","3105782","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Sonchus","Sonchus asper","Sonchus asper","(L.) Hill"
"HJO159","Clarkia amoena","Clarkia amoena (Lehm.) A.Nelson & J.F.Macbr.","5420978","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Clarkia","Clarkia amoena","Clarkia amoena","(Lehm.) A.Nelson & J.F.Macbr."
"HJO16","Aira caryophyllea","Aira caryophyllea L.","7747216","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aira","Aira caryophyllea","Aira caryophyllea","L."
"HJO160","Agoseris grandiflora","Agoseris grandiflora (Nutt.) Greene","3092909","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris","Agoseris grandiflora","Agoseris grandiflora","(Nutt.) Greene"
"HJO161","Hypochaeris glabra","Hypochaeris glabra L.","3093911","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Hypochaeris","Hypochaeris glabra","Hypochaeris glabra","L."
"HJO162","Tsuga heterophylla","Tsuga heterophylla (Raf.) Sarg.","2687210","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Tsuga","Tsuga heterophylla","Tsuga heterophylla","(Raf.) Sarg."
