occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJC-1964","Brodia coronaria","Brodiaea coronaria (Salisb.) Jeps.","2767717","EDITED","70","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Brodiaea","Brodiaea coronaria","Brodiaea coronaria",
"HJC-1965","Lupinus bicolor","Lupinus bicolor Lindl.","2964576","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus","Lupinus bicolor","Lupinus bicolor","Lindl."
"HJC-1966","Agoseris heterophylla","Agoseris heterophylla (Nutt.) Greene","3092890","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris","Agoseris heterophylla","Agoseris heterophylla","(Nutt.) Greene"
"HJC-1967","Festuca rubra litoralis","Festuca rubra var. litoralis G.Mey.","4932302","EXACT","97","SYNONYM","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca rubra","Festuca rubra litoralis","G.Mey."
"HJC-1968","Triteleia hyacinthina","Triteleia hyacinthina (Lindl.) Greene","5304183","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Triteleia","Triteleia hyacinthina","Triteleia hyacinthina","(Lindl.) Greene"
"HJC-1969","Potentilla gracilis","Potentilla gracilis Douglas","8301395","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla gracilis","Potentilla gracilis","Douglas"
"HJC-1970","Anthemis arvensis","Anthemis arvensis L.","3102781","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Anthemis","Anthemis arvensis","Anthemis arvensis","L."
"HJC-1971","Carex aurea","Carex aurea Nutt.","2729306","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex aurea","Carex aurea","Nutt."
"HJC-1973","Leontodon nudicaulis","Leontodon nudicaulis (L.) Banks ex Schinz & R.Keller","8280357","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Leontodon","Leontodon nudicaulis","Leontodon nudicaulis","(L.) Banks ex Schinz & R.Keller"
"HJC-1974","Plantago maritima","Plantago maritima L.","3189755","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","Plantago maritima","Plantago maritima","L."
"HJC-1975","Carex rostrata","Carex rostrata Stokes","2726725","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex rostrata","Carex rostrata","Stokes"
"HJC-1976","Carex cusickii","Carex cusickii Mack.","2729757","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex cusickii","Carex cusickii","Mack."
"HJC-1977","Tragopogon porrifolius","Tragopogon porrifolius L.","5386938","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Tragopogon","Tragopogon porrifolius","Tragopogon porrifolius","L."
"HJC-1978","Medicago lupulina","Medicago lupulina L.","2965201","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Medicago","Medicago lupulina","Medicago lupulina","L."
"HJC-1979","Sisyrinchium angustifolium","Sisyrinchium angustifolium Mill.","5296015","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium angustifolium","Sisyrinchium angustifolium","Mill."
"HJC-1980","Centaurea nigra","Centaurea nigra L.","3128225","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea","Centaurea nigra","Centaurea nigra","L."
"HJC-1981","Carex oederi","Carex oederi Retz.","7973697","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex oederi","Carex oederi","Retz."
"HJC-1982","Pinus contorta","Pinus contorta Douglas ex Loudon","5285750","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus","Pinus contorta","Pinus contorta","Douglas ex Loudon"
"HJC-1983","Populus balsamifera","Populus balsamifera L.","3040184","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Populus","Populus balsamifera","Populus balsamifera","L."
"HJC-1984","Sisyrinchium palmifolium palmifolium","Sisyrinchium palmifolium subsp. palmifolium","7070987","EXACT","98","ACCEPTED","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium palmifolium","Sisyrinchium palmifolium palmifolium",
"HJC-1985","Orobanche californicum","Orobanche californica Cham. & Schltdl.","3173261","EDITED","96","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Aphyllon","Aphyllon californicum","Orobanche californica","Cham. & Schltdl."
"HJC-1987","Leontodon saxatilis saxatilis","Leontodon saxatilis var. saxatilis","6303499","EXACT","97","SYNONYM","VARIETY","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Thrincia","Thrincia saxatilis","Leontodon saxatilis saxatilis",
"HJC-1988","Bromus sitchensis sitchensis","Bromus sitchensis var. sitchensis","7226791","EXACT","98","ACCEPTED","VARIETY","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus sitchensis","Bromus sitchensis sitchensis",
"HJC-1989","Cerastium fontanum","Cerastium fontanum Baumg.","3085458","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium fontanum","Cerastium fontanum","Baumg."
"HJC-1990","Acmispon denticulatus","Acmispon denticulatus (Drew) D.D.Sokoloff","2975805","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon","Acmispon denticulatus","Acmispon denticulatus","(Drew) D.D.Sokoloff"
"HJC-1991","Puccinellia nutkaensis","Puccinellia nutkaensis (J.Presl) Fernald & Weath.","2704698","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Puccinellia","Puccinellia nutkaensis","Puccinellia nutkaensis","(J.Presl) Fernald & Weath."
