occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"80","Symphyotricum subspicatum","Symphyotrichum subspicatum (Nees) G.L.Nesom","3151704","EDITED","85","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum subspicatum","Symphyotrichum subspicatum","(Nees) G.L.Nesom"
"81","Carex lasiocarpa","Carex lasiocarpa Ehrh.","2728531","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex lasiocarpa","Carex lasiocarpa","Ehrh."
"82","Scirpus acutus","Scirpus acutus Willd. ex Kunth, 1837","7660482","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Scirpus","Scirpus acutus","Scirpus acutus","Willd. ex Kunth, 1837"
"83","Potamogeton robbinsii","Potamogeton robbinsii Oakes","5301182","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton robbinsii","Potamogeton robbinsii","Oakes"
"84","Potamogeton amplifolius","Potamogeton amplifolius Tuck.","5301159","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton amplifolius","Potamogeton amplifolius","Tuck."
"85","Eleocharis palustris","Eleocharis palustris (L.) Roem. & Schult.","2717002","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Eleocharis","Eleocharis palustris","Eleocharis palustris","(L.) Roem. & Schult."
"87","Carex cusickii","Carex cusickii Mack.","2729757","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex cusickii","Carex cusickii","Mack."
"88","Comarum palustre","Comarum palustre L.","3020532","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Comarum","Comarum palustre","Comarum palustre","L."
"89","Potamogeton natans","Potamogeton natans L.","5301147","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton natans","Potamogeton natans","L."
"90","Drosera rotundifolia","Drosera rotundifolia L.","3191030","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Droseraceae","Drosera","Drosera rotundifolia","Drosera rotundifolia","L."
"92","Nymphae odorata","Nymphaea odorata Sol. ex Aiton","2882412","EDITED","80","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea odorata","Nymphaea odorata","Sol. ex Aiton"
"94","Elodea densa","Elodea densa (Planch.) Casp.","5329263","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Elodea","Elodea densa","Elodea densa","(Planch.) Casp."
"97","Schoenoplectus acutus","Schoenoplectus acutus (Muhl. ex Bigelow) Á.Löve & D.Löve","2710926","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Schoenoplectus","Schoenoplectus acutus","Schoenoplectus acutus","(Muhl. ex Bigelow) Á.Löve & D.Löve"
"98","Spiraea","Spiraea L.","3026392","EXACT","94","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea",,"Spiraea","L."
"100","Alnus","Alnus Mill.","2876099","EXACT","92","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus",,"Alnus","Mill."
"104","Agrostis scabra","Agrostis scabra Willd.","2706444","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis scabra","Agrostis scabra","Willd."
"106","Sphagnum","Sphagnum L.","2668958","EXACT","94","ACCEPTED","GENUS","Plantae","Bryophyta","Sphagnopsida","Sphagnales","Sphagnaceae","Sphagnum",,"Sphagnum","L."
"108","Carex interior","Carex interior L.H.Bailey","2728807","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex interior","Carex interior","L.H.Bailey"
"109","Rhododendron groenlandicum","Rhododendron groenlandicum (Oeder) Kron & Judd","2882984","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","Rhododendron groenlandicum","Rhododendron groenlandicum","(Oeder) Kron & Judd"
"112","Spiraea douglasii","Spiraea douglasii Hook.","3027159","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Spiraea","Spiraea douglasii","Spiraea douglasii","Hook."
"113","Hypericum anagalloides","Hypericum anagalloides Cham. & Schltdl.","3189470","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","Hypericum anagalloides","Hypericum anagalloides","Cham. & Schltdl."
"114","Viola palustris","Viola palustris L.","5331355","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola palustris","Viola palustris","L."
"115","Dulichium arundinaceum","Dulichium arundinaceum (L.) Britton","5292775","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Dulichium","Dulichium arundinaceum","Dulichium arundinaceum","(L.) Britton"
"116","Carex lenticularis","Carex lenticularis Michx.","2723525","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex lenticularis","Carex lenticularis","Michx."
"120","Juncus ensifolius","Juncus ensifolius Wikstr.","2701612","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","Juncus","Juncus ensifolius","Juncus ensifolius","Wikstr."
