gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1949546162																										RBCM:Botany:V097188									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V097188	V097188	s.n.	Harvey Janszen		1												sheet, pressed																			1975-05-10				1975	05	10	10/05/1975											North America				Canada	CA	British Columbia	Gulf Islands														Pinder-Moss, John 20011231	48.78333333	-123.05																British Columbia Digital Gazetteer, 1996																								Terri Suttill		1989-05-23				https://www.gbif.org/species/6390498								Dodecatheon pulchellum (Raf.) Merr. var. pulchellum	Dodecatheon meadia L.							Plantae	Spermatophyta	Dicotyledonae	Ericales	Primulaceae		Dodecatheon				pulchellum	pulchellum		variety					synonym		
1949546159																										RBCM:Botany:V097277									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V097277	V097277	s.n.	Harvey Janszen		1												sheet, pressed																			1975-05-29				1975	05	29	29/05/1975											North America				Canada	CA	British Columbia	Gulf Islands														Pinder-Moss, John H. 20090106	48.85	-123.2833333																																								Jeffery Saarela		2009-01-01			IDD:  20090000; Saarela of National Herbarium (CAN), Canadian Museum of Nature	https://www.gbif.org/species/2703764								Bromus racemosus L.	Bromus racemosus L.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Bromus				racemosus			species		L.			accepted		
1949546150																										RBCM:Botany:V097175									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V097175	V097175		Harvey Janszen		1												sheet, pressed																			1975-05-29				1975	05	29	29/05/1975											North America				Canada	CA	British Columbia																48.8	-123.2																																								Curtis Bjork		2015-01-03				https://www.gbif.org/species/6395134								Amsinckia intermedia Fisch. & C.A. Mey.	Amsinckia intermedia Fisch. & C.A. Mey.							Plantae	Spermatophyta	Dicotyledonae	Boraginales	Boraginaceae		Amsinckia				intermedia			species		Fisch. & C.A. Mey.			accepted		
1949546149																										RBCM:Botany:V097205									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V097205	V097205	s.n.	Harvey Janszen		1												sheet, pressed																			1975-01-01				1975			01/01/1975											North America				Canada	CA	British Columbia	Gulf Islands															48.78333333	-123.0833333																																								R. Soreng		1993-01-01				https://www.gbif.org/species/2704265								Poa compressa L.	Poa compressa L.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Poa				compressa			species		L.			accepted		
1949546141																										RBCM:Botany:V097273									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V097273	V097273	s.n.	Harvey Janszen		1												sheet, pressed																			1975-05-26				1975	05	26	26/05/1975											North America				Canada	CA	British Columbia	Gulf Islands														Pinder-Moss, John H. 20090108	48.85	-123.2333333																British Columbia Digital Gazetteer, 1996																								Jeffery Saarela		2009-01-01			IDD:  20090000; Saarela from National Herbarium of Canada (CAN), Canadian Museum of Nature	https://www.gbif.org/species/2703746								Bromus tectorum L.	Bromus tectorum L.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Bromus				tectorum			species		L.			accepted		
1949546134																										RBCM:Botany:V097218									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V097218	V097218	s.n.	Harvey Janszen		1												sheet, pressed																			1975-06-18				1975	06	18	18/06/1975											North America				Canada	CA	British Columbia	Gulf Islands														Pinder-Moss, John H. 20090303	48.78333333	-123.15																British Columbia Digital Gazetteer, 1996																								Robert Preston		2014-07-25				https://www.gbif.org/species/7964464								Brodiaea coronaria (Salisb.) Engl.	Brodiaea coronaria Jeps.							Plantae	Spermatophyta	Monocotyledonae	Asparagales	Asparagaceae		Brodiaea				coronaria			species		(Salisb.) Engl.			synonym		
1949546128																										RBCM:Botany:V097165									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V097165	V097165		Harvey Janszen		1												sheet, pressed																			1975-06-10				1975	06	10	10/06/1975											North America				Canada	CA	British Columbia	Gulf Islands															48	-123																Source																								T. Brayshaw; Harvey Janszen		1975-01-01				https://www.gbif.org/species/5367294								Potentilla recta L.	Potentilla recta L.							Plantae	Spermatophyta	Dicotyledonae	Rosales	Rosaceae		Potentilla				recta			species		L.			accepted		
1949544584																										RBCM:Botany:V095470									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V095470	V095470	367	Harvey Janszen		1												sheet, pressed																			1974-06-10				1974	06	10	10/06/1974											North America				Canada	CA	British Columbia	Gulf Islands														Moores, Karen 19980928	48.78333333	-123.15																																								Harvey Janszen		1974-01-01				https://www.gbif.org/species/7747216								Aira caryophyllea L.	Aira caryophyllea L.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Aira				caryophyllea			species		L.			accepted		
1949544573																										RBCM:Botany:V095472									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V095472	V095472	369	Harvey Janszen		1												sheet, pressed																			1974-06-10				1974	06	10	10/06/1974											North America				Canada	CA	British Columbia	Gulf Islands														Moores, Karen 19981016	48.78333333	-123.15																Gazetteer of Canada: British Columbia, 1985																								Mary Barkworth		1990-01-01			IDD:  19900000; Barkworth from Intermountain Herbarium, Utah State University; loan #1458	https://www.gbif.org/species/5708214								Elymus glaucus Buckl. ssp. glaucus								Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Elymus				glaucus	glaucus		subspecies					accepted		
1949544568																										RBCM:Botany:V095471									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V095471	V095471	367a	Harvey Janszen		1												sheet, pressed																			1974-06-10				1974	06	10	10/06/1974											North America				Canada	CA	British Columbia	Gulf Islands														Wet meadow.	48.78333333	-123.15																																								Harvey Janszen		1974-01-01				https://www.gbif.org/species/5289582								Aira praecox L.	Aira praecox L.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Aira				praecox			species		L.			accepted		
1949544556																										RBCM:Botany:V095483									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V095483	V095483	385	Harvey Janszen		1												sheet, pressed																			1974-07-19				1974	07	19	19/07/1974											North America				Canada	CA	British Columbia															forming large tufts; common in meadow																																										Harvey Janszen		1974-01-01				https://www.gbif.org/species/2706164								Holcus lanatus L.	Holcus lanatus L.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Holcus				lanatus			species		L.			accepted		
1949544537																										RBCM:Botany:V095469									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V095469	V095469	371	Harvey Janszen		1												sheet, pressed																			1974-06-10				1974	06	10	10/06/1974											North America				Canada	CA	British Columbia	Gulf Islands														Pinder-Moss, John H. 20090107	48.78333333	-123.15																British Columbia Digital Gazetteer, 1996																								Jeffery Saarela		2009-01-01			IDD:  20090000; Saarela of National Herbarium of Canada (CAN); Canadian Museum of Nature	https://www.gbif.org/species/2703746								Bromus tectorum L.	Bromus tectorum L.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Bromus				tectorum			species		L.			accepted		
1949544432																										RBCM:Botany:V095475									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V095475	V095475	344	Harvey Janszen		1												sheet, pressed																			1974-06-10				1974	06	10	10/06/1974											North America				Canada	CA	British Columbia	Gulf Islands														Wet meadow.	48.78333333	-123.15																																								Harvey Janszen		1974-01-01				https://www.gbif.org/species/2705975								Anthoxanthum odoratum L.	Anthoxanthum odoratum L.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Anthoxanthum				odoratum			species		L.			accepted		
1949544424																										RBCM:Botany:V095476									en	https://creativecommons.org/licenses/by/4.0/legalcode											Royal BC Museum							PhysicalObject		http://grbio.org/cool/gayt-20cg			RBCM	V	Royal BC Museum - Botany Collection	Royal BC Museum	PreservedSpecimen			Conservation Status:CDC: Not Listed	RBCM:Botany:V095476	V095476	343	Harvey Janszen		1												sheet, pressed																			1974-06-10				1974	06	10	10/06/1974											North America				Canada	CA	British Columbia	Gulf Islands														Wet meadow.	48.78333333	-123.15																																								R. Soreng		1993-01-01				https://www.gbif.org/species/2704179								Poa annua L.	Poa annua L.							Plantae	Spermatophyta	Monocotyledonae	Poales	Poaceae		Poa				annua			species		L.			accepted		
