"locality string","country","state","county","latitude","longitude","correction status","precision","error polygon","multiple results","uncertainty","occurrenceID"
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,22
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,23
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,24
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,25
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,26
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,27
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,28
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,29
"north side of Matheson Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,30
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,31
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,32
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,33
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,34
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,35
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,36
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,37
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,38
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,39
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,40
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,41
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,42
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,43
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,44
"Blinkhorn Lake, Metchosin","Canada","British Columbia","Metchosin",NA,NA,NA,NA,NA,NA,NA,45
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,46
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,47
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,48
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,49
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,50
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,51
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,52
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,53
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,54
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,55
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,56
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,57
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,58
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,59
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,60
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,61
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,62
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,63
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,64
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,65
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,66
"6 km lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,67
"5.6 km fen, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,68
"5.6 km fen, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,69
"5.6 km fen, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,70
"5.6 km fen, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,71
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,72
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,73
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,74
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,75
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,76
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,77
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,78
"east end of Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,79
"east end of Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,80
"north end of Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,81
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,82
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,83
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,84
"Cusheon Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,85
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,86
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,87
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,88
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,89
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,90
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,91
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,92
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,93
"Bullocks Pond, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,94
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,95
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,96
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,97
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,98
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,99
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,100
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,101
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,102
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,103
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,104
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,105
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,106
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,107
"Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,108
"lower end of Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,109
"lower end of Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,110
"lower end of Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,111
"lower end of Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,112
"lower end of Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,113
"lower end of Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,114
"lower end of Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,115
"lower end of Maxwell Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,116
"Blackburn Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,117
"Blackburn Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,118
"Blackburn Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,119
"Blackburn Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,120
"Blackburn Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,121
"Blackburn Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,122
"Blackburn Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,123
"Blackburn Lake, Saltspring Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,124
"east end of Dick Island, Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,125
"east end of Dick Island, Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,126
"east end of Dick Island, Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,127
"east end of Dick Island, Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,128
"east end of Dick Island, Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,129
"east end of Dick Island, Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,130
"east end of Dick Island, Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,131
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,132
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,133
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,134
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,135
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,136
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,137
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,138
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,139
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,140
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,141
"Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,142
"west end of islet, Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,143
"west end of islet, Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,144
"west end of islet, Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,145
"interior of islet, Dick Island, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,146
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,147
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,148
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,149
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,150
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,151
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,152
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,153
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,154
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,155
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,156
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,157
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,158
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,159
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,160
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,161
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,162
"Harwood Point, Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,163
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,164
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,165
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,166
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,167
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,168
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,169
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,170
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,171
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,172
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,173
"Texada Island","Canada","British Columbia","Northern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,174
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,175
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,176
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,177
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,178
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,179
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,180
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,181
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,182
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,183
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,184
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,185
"Mount Sutil, Galiano Island","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,186
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,187
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,188
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,189
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,190
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,191
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,192
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,193
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,194
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,195
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,196
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,197
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,198
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,199
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,200
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,201
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,202
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,203
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,204
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,205
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,206
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,207
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,208
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,209
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,210
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,211
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,212
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,213
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,214
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,215
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,216
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,217
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,218
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,219
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,220
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,221
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,222
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,223
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,224
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,225
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,226
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,227
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,228
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,229
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,230
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,231
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,232
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,233
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,234
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,235
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,236
"Galiano","Canada","British Columbia","Southern Gulf Islands",NA,NA,NA,NA,NA,NA,NA,237
