occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship
"HJ-27-3-26","Pentagramma triangularis","Pentagramma triangularis (Kaulf.) Yatsk., Windham & Wollenw.","5275443","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Pentagramma","Pentagramma triangularis","Pentagramma triangularis","(Kaulf.) Yatsk., Windham & Wollenw."
"HJ-27-3-27","Delphinium menziesii","Delphinium menziesii DC.","3033775","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Delphinium","Delphinium menziesii","Delphinium menziesii","DC."
"HJ-27-3-28","Agoseris grandiflora","Agoseris grandiflora (Nutt.) Greene","3092909","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris","Agoseris grandiflora","Agoseris grandiflora","(Nutt.) Greene"
"HJ-27-3-29","Plectritis congesta","Plectritis congesta (Lindl.) DC.","2888738","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Valeriana","Valeriana congesta","Plectritis congesta","(Lindl.) DC."
"HJ-27-3-3","Montia parvifolia","Montia parvifolia (Moc. ex DC.) Greene","5384300","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Montiaceae","Montia","Montia parvifolia","Montia parvifolia","(Moc. ex DC.) Greene"
"HJ-27-3-30","Rumex","Rumex L.","2888942","EXACT","94","ACCEPTED","GENUS","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex",,"Rumex","L."
"HJ-27-3-4","Madia gracilis","Madia gracilis (Sm.) D.D.Keck & J.C.Clausen ex Applegate","8222011","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Madia","Madia gracilis","Madia gracilis","(Sm.) D.D.Keck & J.C.Clausen ex Applegate"
"HJ-27-3-5","Lithophragma parviflorum","Lithophragma parviflorum (Hook.) Nutt. ex Torr. & A.Gray","8408864","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Lithophragma","Lithophragma parviflorum","Lithophragma parviflorum","(Hook.) Nutt. ex Torr. & A.Gray"
"HJ-27-3-6","Galium aparine","Galium aparine L.","2913548","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium","Galium aparine","Galium aparine","L."
"HJ-27-3-7","Torilis japonica","Torilis japonica (Houtt.) DC.","3034820","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Torilis","Torilis japonica","Torilis japonica","(Houtt.) DC."
"HJ-27-3-8","Alchemilla arvensis","Alchemilla arvensis (L.) Scop.","3012037","EDITED","114","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Aphanes","Aphanes arvensis","Alchemilla arvensis",
"HJ-27-3-9","Racomitrium canenscens","Racomitrium canescens Bridel, 1819","2674333","EDITED","95","ACCEPTED","SPECIES","Plantae","Bryophyta","Bryopsida","Grimmiales","Grimmiaceae","Racomitrium","Racomitrium canescens","Racomitrium canescens","Bridel, 1819"
