Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PMJUN010J1,Juncus bufonius var. bufonius,toad rush,,S5 (2020),Yellow,G5T5 (2016),,,,,,
PMJUN010J6,Juncus bufonius var. occidentalis,toad rush,,SU (2020),Unknown,G5TNR,,,,,,
PMJUN013F0,Juncus bulbosus,bulbous rush,,SNA (2019),Exotic,G5? (2016),,,,,,
PMJUN010L0,Juncus canadensis,Canadian rush,,SNA (2019),Exotic,G5 (2016),,,,,,
PMJUN010P1,Juncus castaneus ssp. castaneus,chestnut rush,,S5 (2019),Yellow,G5T5 (2016),,,,,,
PMJUN010R0,Juncus compressus,compressed rush,,SNA (2019),Exotic,G5 (2012),,,,,,
PMJUN010S0,Juncus confusus,Colorado rush,,S4 (2019),Yellow,G5 (1987),,,,,,
PMJUN0111D,Juncus conglomeratus,compact rush,,SNA (2019),Exotic,G5T5? (2002),,,,,,
PMJUN010V0,Juncus covillei,Coville's rush,,S4 (2019),Yellow,G5 (2005),,,,,,
PMJUN010Z0,Juncus drummondii,Drummond's rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN01390,Juncus dudleyi,Dudley's rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN0111F,Juncus effusus ssp. effusus,European rush,,SNA (2006),Exotic,G5T5? (2002),,,,,,
PMJUN0111K,Juncus effusus ssp. pacificus,Pacific soft rush,,S5 (2015),Yellow,G5T5 (2016),,,,,,
PMJUN0111B,Juncus effusus ssp. solutus,soft rush,,SNA (2007),Exotic,G5T5 (2016),,,,,,
PMJUN012I0,Juncus ensifolius,dagger-leaf rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN013L0,Juncus falcatus ssp. sitchensis,sickle-leaved rush,,S5 (2019),Yellow,G5T4Q (2014),,,,,,
PMJUN01150,Juncus filiformis,thread rush,,S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN01181,Juncus gerardii var. gerardii,Gerard's rush,,SNA (2019),Exotic,G5T5 (2001),,,,,,
PMJUN011D0,Juncus haenkei,Haenke's rush,,S4S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN011F2,Juncus hemiendytus var. hemiendytus,Hermanns dwarf rush,CWHxm,S2 (2019),Red,G5T5 (1988),,,,,Y,
PMJUN0111C,Juncus hesperius,common rush,,S4S5 (2019),Yellow,G5T3T5 (2002),,,,,,
PMJUN011J0,Juncus interior,inland rush,,S4S5 (2019),Yellow,G4 (2009),,,,,,
PMJUN011K0,Juncus kelloggii,Kellogg's rush,CDFmm,S1S2 (2019),Red,G3? (1990),E,1-E (2005),,,Y,Y
PMJUN013H0,Juncus laccatus,common rush,,S4S5 (2019),Yellow,G3G5 (2007),,,,,,
PMJUN011P0,Juncus longistylis,long-styled rush,,S4S5 (2019),Yellow,G5 (2016),,,,,,
PMJUN011S0,Juncus marginatus,grass-leaf rush,,SNA (2019),Exotic,G5 (2016),,,,,,
PMJUN011W0,Juncus mertensianus,Mertens' rush,,S5 (2019),Yellow,G5 (2016),,,,,,
