checkStatus,toDelete,pageNum,numPage,vName,vSciName,conf,sciName,date,locality,country,stateProvince,island,idQualifier,county,occStatus,habitat,assCollTaxa,assColl,locationRemarks,vTaxonRank,vElevM,vLat,vLon,vUTM,vCoordUncM,numPlantsCode,orgQuantity,orgQtype,occRemarks,phenology,recordedBy,idBy,dataEntryRemarks
C,,4,21,Orthocarpus pusillus,Orthocarpus pusillus,l,Triphysaria pusilla,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,Y,4,25,NA,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trouble deciphering taxon name
C,Y,4,26,Potamogeton,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,in salt pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cannot decipher specific epithet or tell if it is suggesting another genus instead
C,Y,4,31,Ranunculus,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cannot decipher specific epithet
C,,4,35,Juncus gracilis,Juncus gracilis,l,Marsippospermum gracile,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,new species name not found in region
C,Y,6,3,Oenothera sarmentosa,NA,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unable to decipher specific epithet
C,Y,6,14,Potentilla,Potentilla,NA,NA,19810528,Prevost Island,Canada,British Columbia,Prevost Island,Potentilla  cf. sp.,NA,NA,fen,NA,NA,fen far west of lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,,6,35,Arabis hirsuta,Arabis hirsuta,l,Arabis hirsuta,19810528,Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very rare in area, maybe I did not decipher name right?"
C,Y,7,7,G,[G] microcephala,NA,NA,19810528,North East point of Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cannot decipher genus name
C,Y,7,9,G. purpurea,[G] purpurea,NA,NA,19810528,North East point of Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cannot decipher genus name
C,Y,7,16,Linum valerian,NA,NA,NA,19810528,North East point of Prevost Island,Canada,British Columbia,Prevost Island,NA,NA,NA,NA,NA,NA,around old light keepers house,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-flowering,vegetative,NA,NA,cannot decipher name it was replaced with
