mounting number,specimen?,match description?,specific epihpet? ,entry_notes,collection number,LabelQty ,Genus,Qualifier,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,Forma,Forma Author,Cultivar,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Original Herbarium,Research Annotation,Citations,Genbank,BOLD Number,Georeference Notes,Extra Notes
72,,,,"MOSS, could not find in collection books",,1,Sphagnum,,recurvum ,,,,,,,,,Canada,British Columbia,"Saturna Island, Beaver Typha fen",,,,,,,,,,,,,1997 03 23,Harvey Janszen,,,,,,,,,,,,
73,,,,MOSS ,,1,Sphagnum ,,"papilosum, squarrosum, angustifolium, fuscum",,,,,,,,,Canada,British Columbia,"Saltspring Island, Mount Bruce, 6 kilometer Lake",,,,,,,,,,,,,1996 10 30,Harvey Janszen,,,,,,,,,,,,
74,,,,"no colleciton number, in between 2948 and 2949. News paper from March 2003",,,Polygonum,,sp,,,,,,,,,Canada,British Columbia,,,,,,,,,,,,,,,Harvey Janszen,,,,,,,,,,,,
75,Y,Y,N,was originally collection number 2942 as Yabea microcarpa. But this was crossed out and called Torilis sp. Could not decipher last associated species name ,,,Torilis,,sp,,,,,,,,,Canada,British Columbia,,,,,,,,10U 464369 5396717,,,,"Mossy shelf on rock outcrop; open grassland; growing with Quercus garryana, Racomitrium canescens, Pteridium aquilinum, Galium aparine, Cynosurus echinatus, Vulpia bromoides, Holcus lanatus, Elymus glaucus, Carex inops",458 m,2002 06 22,Harvey Janszen,,,,,20 plants; 20 more in grass under nearby Quercus garryana; total several thousand in clumps of 10-30 plants; widespread in oak meadow area; slope 20 percent; elevation from GPS,,,,,,,
76,,,,"no collection number. Just says ""Rocky Point Crassula."" Think that it is associated with collection 2933, note mentioning crassula at same UTM. Another specimen in same sheet",,,Crassula ,,connata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,Arctostaphylos,,columbiana,,,,,,,,,,,"Victoria, Mount Findlayson",,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,"possibly Arctostaphylos columbiana - all it says on specimen sheet though is ""Lone Tree Hill"" ",,,,,,,,,,,,,,,,Lone tree hill,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,"additional sheet with misc collections of lichen, moss. From Discovery Island I and Coldstream ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,"some sort of grass. Does not fit description of 2961 being Yabea microcarpa, which has its own specimen - something wrong with number labelling",2961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,"only location. No date, but might be close to 2918, in 2003",,,Allium,,amplectens,,,,,,,,,,,Reginald Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,qualitfier column for question mark species ,or aff afifnitiy to look like somethin g else ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,use comma instead semicolon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,write out perfecent ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hard bracket when you can't decipher . Sic when someone spells wrong - ard to put in database - use hard bracketing and question marks associated species? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,can set speciemens for Frank aside for Spencer or Linda ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,She won't be around next week ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,would like to collaborate on georeferencing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Red tape at RBCM - because not allowing volunteers in right now ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,write sp. If species not known - those are some of the most interesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,can attribute id to Harvey or leave blank - blank might be better not to assume that other people he was with didn't ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"for mounting, order by year and collection number ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,have a number in a sequence so that they can make sure it’s the right one - like a mounting number column ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,for things where it is northern range limit of population - super important to treat well for genetics ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,most things in bc are hyprids between alaska and california and rockies - not many things endemic and rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,think gary oak meadow species not endemic now - paper coming out soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
