mounting number,specimen?,match description?,entry_notes,collection number,LabelQty ,Genus,Qualifier,Species,Species Author,Subspecies,Subspecies Author,Variety,Variety Author,Forma,Forma Author,Cultivar,Country,ProvinceState,Location,VLatDegree,VLatMinute,VLatSecond,VLongDegree,VLongMinute,VLongSecond,UTM,Grid Reference,VDatum,VCoordinateUncertainty,Habitat,Altitude,Date Collected,Primary Collector,Other Collectors,Collector Number,Determined By,Determination Date,Field Notes,Original Herbarium,Research Annotation,Citations,Genbank,BOLD Number,Georeference Notes,Extra Notes
,Y,Y,,,1,Arctostaphylos,,columbiana,,,,,,,,,Canada,British Columbia,"Victoria, Mount Findlayson",,,,,,,,,,,,,2002 06 19,Harvey Janszen,,,,,page 151 HJ9,,,,,,,
,Y,Y,,,1,Arctostaphylos,,uva-ursi x columbiana,,,,,,,,,Canada,British Columbia,Lone tree hill,,,,,,,,,,,,,2002 06 19,Harvey Janszen,,,,,Arctostaphylos x-intermedia plus uva-ursi and columbiana; page 151 HJ9,,,,,,,
,Y,Y,,,1,Allium,,amplectens,,,,,,,,,Canada,British Columbia,"Saltspring Island, Reginald Hill",,,,,,,10U 468299 5401012,,,,Under oak,130 m ,2003 06 20,Harvey Janszen,,,,,30 stems flowering; coll for GA; second clump down hil 10/33; elevation from map,,,,,,,
,Y,Y,,2918,2,Carex,,sylvatica,,,,,,,,,Canada,British Columbia,"Saturna Island, East Point Road",,,,,,,10U 486540 5404510,,,,"Wet meadow off roadside; Growing with Scirpus microcarpus, Equisetum arvense, Festuca pratense (Lolium pratense), Cirsium arvense, Stachys chamissonis var. cooleyae, Rumex conglomeratus",65 m,1999 08 21,Harvey Janszen,,2918,,,moderately abundant in orchard; approximately 2 ha; slope flat; for Frank Lomer number 750 July 28 [1995]?; page 186 HJ8,,,,,,,two specimens
,Y,Y,A CRASSULA THOUGH….,2932,1,Allium ,,amplectens,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,10U 456018 5351518,,,,"Shore line soil pocket with Plantago; Growing with Delphinium menziesii, Festuca rubra, Cerastium arvense, Vulpia (Festuca) sp",0 m ,2002 05 29,Harvey Janszen,,2932,,,group of 20; aspect 280 degrees; page 145 HJ9,,,,,,,
,Y,Y,"ARCTOSTAPHYOS in sheet? Match to obs with that to, mark on sheet which is which ",2933,,Crassula,,connata,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,10U 456012 5351550,,,,"Bare earth at rock and soil seaside transition; Growing with Aira praecox, Festuca rubra, Armeria maritima ",,2002 05 29,Harvey Janszen,,2933,,,page 146 HJ9,,,,,,,
,Y,Y,,2934,1,Trifolium,,sp,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,10U 455841 5351630 ,,,,"[Pdeual] see;  Growing with Bromus hordeaceus, Anthoxanthum odorantum, Plagiobothrys scouleri, Trifolium midrodon",,2002 05 29,Harvey Janszen,,2934,,,"10 plants; second clump of several, more 100 m west;  aspect 180 degrees, slope flat; page 146 HJ9",,,,,,,could not decipher some associated species 
,Y,Y,,2935,1,Sagina,,sp,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,10U 455434 5351822,,,,"Sea rock pool; Growing with Armeria maritima, Plantago maritima",1 m,2002 05 29,Harvey Janszen,,2935,,,approx 50 plants; aspect all; page 147 HJ9,,,,,,,
,Y,Y,,2937,1,Alopecurus ,,carolinianus,,,,,,,,,Canada,British Columbia,"Metchosin, Rocky Point ",,,,,,,,,,,,,,Harvey Janszen,,,,,page 149 HJ9,,,,,,,"on sheet, it says 2936, but I think this is a mistake with labelling; assuming location from position in series in field notes"
,Y,Y,,2938,1,Melica,,harfordii,,,,,,,,,Canada,British Columbia,"Lone Tree Hill, below summit of hill",,,,,,,10U 461920 5374323,,,,"At base of rock outcrops; Growing with Elymus glaucus, Polystichum munitum, Sedum spathulithifolium, Cynosurus echinatus, Galium aparine, Poa pratensis, Holodiscus discolor",40 m ,2002 06 19,Harvey Janszen,,2938,,,slope 100 percent; page 150 HJ9,,,,,,,
